G2latitude,G2longitude,G2pressure,G2depth,G2temperature,G2theta,G2salinity,G2sigma0,G2phtsinsitutp,G2silicate,G2nitrate,G2sigma3,G2gamma,G2aou,G2sigma4,G2phosphate,G2sigma1,G2tco2,G2oxygen,G2sigma2,G2fco2,G2talk
-46.726,-170.91,698.4,691.46,7.16,7.092,34.413,26.944,7.969,9.4677,21.937,40.217,27.05645249,58.523,44.445,1.4684,31.469,2142,235.57,35.892,760.44,2284
-46.726,-170.91,897,887.66,6.2,6.118,34.369,27.039,7.9363,16.396,25.36,40.382,27.16873719,80.346,44.631,1.7218,31.588,2160,220.49,36.034,840.22,2287.4
-46.726,-170.91,1097,1085.1,4.95,4.8585,34.342,27.17,7.8984,28.227,29.164,40.604,27.33140562,101.01,44.883,1.9785,31.75,2185.8,208.9,36.227,950.28,2296.3
-46.726,-170.91,1296.1,1281.4,3.94,3.8399,34.369,27.301,7.8742,42.287,31.758,40.811,27.48055283,119.99,45.113,2.1617,31.907,2208.8,197.51,36.41,1030.5,2309.3
-46.726,-170.91,2935.5,2891.1,1.99,1.7685,34.731,27.774,7.8246,90.9,31.025,41.44,28.02578722,143.91,45.791,2.1198,32.434,2253.2,189.31,36.989,1082.1,2352.2
-46.726,-170.91,3186,3136,1.77,1.5287,34.735,27.796,7.8333,96.335,30.886,41.481,28.06335539,140.85,45.838,2.1001,32.462,2253.3,194.38,37.023,1046.7,2357.7
-46.726,-170.91,3495.1,3437.8,1.53,1.2633,34.732,27.812,7.8231,104.91,31.105,41.52,28.1026827,138.63,45.883,2.1276,32.486,2256.5,198.86,37.054,1051,2360.7
-46.726,-170.91,3997,3926.9,1.19,0.8799,34.717,27.826,7.8066,114.06,31.446,41.566,28.15811725,136.91,45.94,2.1557,32.511,2260.6,203.94,37.09,1055.8,2364.6
-46.726,-170.91,4497.9,4414.1,1,0.64061,34.71,27.835,7.7942,120.88,31.763,41.596,28.19761112,135.74,45.976,2.1796,32.527,2256.6,207.22,37.114,1042.3,2362.4
-46.726,-170.91,4999.5,4900.8,0.97,0.55361,34.704,27.836,7.7683,124.01,31.843,41.604,28.20899405,134.93,45.987,2.186,32.53,2261.6,208.82,37.119,1058,2365.5
-46.726,-170.91,5395.4,5284.2,0.99,0.52491,34.701,27.835,7.7481,126.22,31.992,41.606,28.21213482,135.39,45.989,2.2123,32.531,2262.4,208.62,37.12,1066.9,2365.1
-46.337,-171.37,3,2.9753,11.69,11.69,34.734,26.442,8.1068,1.1094,5.7136,39.414,26.50093177,6.9714,43.549,0.50552,30.863,2073.8,258.49,35.187,477.86,2295.7
-45.956,-171.82,50.2,49.782,11.82,11.814,34.71,26.4,8.1312,0.94289,5.3008,39.366,26.45618294,5.6318,43.498,0.50834,30.819,2064.5,259.19,35.14,444.3,2300.5
-45.956,-171.82,99.8,98.957,11.82,11.807,34.717,26.406,8.1128,0.90367,5.4395,39.373,26.46288188,5.8538,43.505,0.51639,30.826,2071.5,258.99,35.147,464.15,2299.2
-45.956,-171.82,197.4,195.69,10.51,10.486,34.76,26.681,8.042,3.1986,12.303,39.725,26.75507223,35.642,43.882,0.80987,31.127,2109.9,236.59,35.474,583.58,2297.1
-45.956,-171.82,251.6,249.38,9.96,9.9309,34.686,26.719,8.0288,3.6867,13.832,39.8,26.79786181,38.369,43.968,0.95003,31.178,2116.3,237.27,35.537,613.62,2294.5
-45.956,-171.82,302.6,299.9,9.42,9.3861,34.625,26.762,8.03,3.4056,15.633,39.879,26.84670702,30.912,44.058,0.96863,31.233,2112,248.12,35.605,620.11,2287.3
-45.956,-171.82,396.5,392.87,8.43,8.3884,34.513,26.833,7.9992,5.4055,18.609,40.017,26.92842316,47.837,44.217,1.2402,31.327,2128.5,237.61,35.721,691.11,2285.8
-45.956,-171.82,498.8,494.11,7.93,7.8792,34.478,26.882,7.9813,6.6787,20.19,40.1,26.98472516,53.279,44.311,1.3747,31.388,2133.8,235.5,35.793,728.88,2282.3
-45.956,-171.82,696.2,689.33,7.17,7.1022,34.432,26.957,7.9649,10.376,22.899,40.229,27.06944237,66.684,44.457,1.5179,31.482,2143.3,227.3,35.905,767.98,2283.9
-45.956,-171.82,1098.5,1086.6,4.87,4.7791,34.346,27.182,7.9058,29.262,29.357,40.622,27.34501064,102.59,44.902,1.9488,31.764,2185.3,207.9,36.243,937.01,2298
-45.956,-171.82,1295.3,1280.7,3.97,3.8697,34.382,27.308,7.8815,43.913,31.657,40.816,27.48636645,122.92,45.117,2.1324,31.913,2209.1,194.32,36.415,1013.4,2312.3
-45.956,-171.82,1496.7,1479.1,3.24,3.13,34.442,27.428,7.8529,59.26,33.101,40.992,27.62986345,139.91,45.31,2.2636,32.052,2232.5,182.95,36.573,1098,2326
-45.956,-171.82,1689.6,1669,2.79,2.669,34.504,27.519,7.8407,68.958,33.639,41.118,27.74043806,149.82,45.447,2.3207,32.155,2245.9,176.57,36.688,1132,2336.3
-45.956,-171.82,1845.6,1822.4,2.63,2.4977,34.56,27.578,7.8291,75.963,33.816,41.189,27.80545962,156.05,45.523,2.3392,32.219,2253.9,171.58,36.755,1155.3,2342.2
-45.956,-171.82,1999.2,1973.4,2.48,2.3364,34.61,27.632,7.8385,79.747,33.708,41.255,27.86307181,156.74,45.592,2.2982,32.277,2255.7,172.08,36.817,1123.2,2348.7
-45.956,-171.82,2187.6,2158.4,2.35,2.1917,34.655,27.68,7.8426,83.674,32.667,41.313,27.91420085,155.93,45.654,2.2821,32.328,2256.3,173.97,36.872,1100.1,2352.8
-45.956,-171.82,2697.4,2658.2,2.01,1.8109,34.728,27.769,7.8421,89.575,31.151,41.431,28.01757523,145.16,45.781,2.1414,32.427,2253.9,187.71,36.981,1063.6,2355.7
-45.956,-171.82,2937.6,2893.3,1.82,1.6019,34.733,27.788,7.8484,94.642,31.065,41.468,28.05104769,141.52,45.823,2.1394,32.453,2250.9,193.09,37.012,1032.3,2357.3
-45.956,-171.82,3348.9,3295.3,1.48,1.2293,34.73,27.813,7.832,104.97,31.215,41.523,28.10672372,139.33,45.888,2.1616,32.488,2252.8,198.46,37.057,1044.3,2357.7
-45.384,-172.49,3.1,3.0747,12.04,12.04,34.719,26.364,8.1123,0.94343,4.6371,39.316,26.4182226,5.6548,43.445,0.45428,30.778,2067.5,257.91,35.095,464.01,2294.5
-45.384,-172.49,22.4,22.216,12.05,12.047,34.718,26.362,8.1113,0.86826,4.5917,39.314,26.41582246,5.9157,43.442,0.46201,30.776,2068.3,257.61,35.093,464.32,2295.3
-45.384,-172.49,73.2,72.59,12.03,12.021,34.713,26.363,8.1085,0.8266,4.709,39.316,26.41691261,6.0703,43.445,0.45099,30.778,2068.1,257.61,35.095,465.65,2294.4
-45.384,-172.49,123.9,122.85,11.44,11.424,34.81,26.55,8.0562,2.1151,9.4104,39.537,26.61445459,27.074,43.676,0.72811,30.977,2096,239.72,35.305,544.85,2294.9
-45.384,-172.49,174.8,173.3,10.76,10.739,34.798,26.666,8.0394,2.9188,11.28,39.694,26.73824452,33.102,43.846,0.80994,31.106,2106.5,237.6,35.448,582,2293.9
-45.384,-172.49,223.8,221.85,9.95,9.9242,34.692,26.725,8.0382,2.8832,12.128,39.806,26.80417715,27.927,43.974,0.85656,31.183,2107.8,247.74,35.543,599.35,2289.2
-45.384,-172.49,279.3,276.84,9.52,9.4886,34.643,26.759,8.0204,3.6816,14.126,39.869,26.8432415,36.835,44.046,0.98457,31.228,2115.2,241.54,35.597,634.24,2286.8
-45.384,-172.49,1001.4,990.85,5.61,5.5222,34.356,27.103,7.9171,21.947,27.277,40.489,27.24859684,92.769,44.752,1.835,31.666,2170.1,212.3,36.127,891.68,2289
-45.384,-172.49,1815.9,1793.3,2.69,2.5594,34.566,27.578,7.8234,80.029,33.714,41.184,27.80211483,159.62,45.516,2.3466,32.217,2258.9,167.5,36.752,1172.9,2345.4
-45.384,-172.49,4953.6,4856.9,0.94,0.53004,34.706,27.839,7.7631,127.03,32.144,41.609,28.21495497,135.03,45.992,2.2121,32.534,2260.8,208.92,37.124,1074.6,2362.2
-44.835,-173.14,4.8,4.7611,12.35,12.349,34.768,26.342,8.1113,0.99751,4.3698,39.276,26.39503806,7.2625,43.398,0.4298,30.75,2067.7,254.53,35.06,459.53,2297.1
