latitude,longitude,Water_depth_m,Sample_depth_average_cm,C_N_Ratio,Total_Organic_Carbon_perc,Total_Nitrogen_perc,d13C,D14C
78.758,136.5012,1880,0.5,7.4,1.38,0.19,-22.8,-418.5
78.5996,137.0613,541,0.5,7.4,1.18,0.16,-23.3,-430.2
77.6809,144.6903,45,0.5,7.1,0.37,0.05,-23.7,-456.7
77.3198,147.8303,43,0.5,7.7,0.27,0.04,-21.4,-469
76.78,147.791,44,0.5,7.2,1.13,0.16,-24.6,-447.1
76.2726,146.034,42,0.5,7.9,1.19,0.15,-24.8,-478.6
76.4027,149.8782,40,0.5,7.2,1.06,0.15,-24.7,-459.8
76.6157,153.3653,49,0.5,7.4,1.43,0.19,-25.8,-345.3
76.5256,156.9242,47,0.5,6.6,1.26,0.19,-23.6,-367.9
75.7632,158.5292,44,0.5,6.7,1.17,0.18,-24.6,-514.7
75.001,161.0318,46,0.5,7.1,0.84,0.12,-23.9,-545.9
74.8448,159.3267,50,0.5,7.3,1.03,0.14,-25.1,-326.3
74.4247,163.6917,52,0.5,7,1.58,0.23,-24.2,-296.4
74.4387,166.0467,54,0.5,7.5,1.68,0.22,-23.8,-307.4
74.4256,168.4932,54,0.5,6.7,1.69,0.25,-23.5,-465.6
73.5198,169.4595,43,0.5,7.6,0.9,0.12,-24,-308.3
74.1056,170.9009,51,0.5,7,1.76,0.25,-24.2,-239.3
74.6823,172.3693,64,0.5,7.3,1.66,0.23,-22.7,-289.6
75.1634,173.1914,170,0.5,6.3,1.48,0.23,-20.9,-278
75.8377,174.4091,239,0.5,5.6,0.76,0.14,-21,-448.3
76.3329,175.5786,468,0.5,5.8,0.72,0.12,-21.2,-468.1
75.408,134.7407,42,2.5,7.9,1.43,0.18,-24.9,-496.9
74.7635,135.2125,30,2.5,8.3,1.39,0.17,-24.8,-531.5
74.1377,137.105,20,2.5,8.1,0.63,0.08,-25,-717.2
73.5482,138.9242,16,2.5,7.9,0.24,0.03,-25.1,-678.7
72.8828,137.6185,27,2.5,9.1,1.68,0.18,-25.6,-531.3
73.3667,162.769,30,2.5,6.9,1.11,0.16,-25.3,-676.6
72.6085,164.3448,27,2.5,6.9,0.85,0.12,-25.4,-730.5
71.7998,166.132,26,2.5,6.4,0.54,0.09,-24.9,-629.7
69.175,170.585,14,2.5,10.2,1.24,0.12,-26.6,-408.3
69.3777,169.4168,13,2.5,6.3,0.47,0.08,-24.4,-400.5
72.6399,175.4079,52,0,7.3,1.79,0.24,-23.4,-256.8
72.5671,158.501,23,0,7.1,0.61,0.09,-25.5,-536.5
73.6895,149.5968,15,0,7.6,0.57,0.08,-24.8,-595
74.3997,144.8272,18,0,7.6,0.39,0.05,-25.1,-567.6
73.0303,148.181,13,0,9,0.87,0.1,-26.4,-718.3
71.6176,158.2823,16,0,7.9,0.85,0.11,-26.3,-681.3
69.9945,176.2145,34,0,7.2,0.83,0.12,-23.1,-383.1
72.6,129.9,3,1,12.3,0.48,0.04,-25,-608.3
72.1,150.7667,8,1,14.7,1.46,0.1,-26.6,-527.3
70,164.1667,19,1,15.9,1.73,0.11,-26.7,-502.9
76.4091,173.8791,349,0.5,5.8,0.73,0.13,-21.4,-474
77.5793,163.3083,159,0.5,6.2,0.79,0.13,-22.1,-376.6
79.2263,152.6756,101,0.5,6.6,0.93,0.14,-22.4,-467.2
79.6646,154.1263,276,0.5,6.5,0.99,0.15,-22.6,-454.8
74.75,114.0092,35,1,8.9,1.07,0.12,-23.8,-526.5
72.5733,132.8194,21,1,9.7,1.36,0.14,-25.3,-551.9
72.5669,150.9356,17,1,9.7,0.58,0.06,-25.9,-804.5
85.6912,148.9912,731,0,7.1,0.55,0.08,-22.5,-343
83.803,146.11733,1340,0,6.7,0.75,0.11,-22.3,-225.5
83.2015,141.37567,1359,0,6.7,0.85,0.13,-22.3,-85.9
81.425,142.23883,741,0,7,0.82,0.12,-22.7,-76.1
76.171,129.333,56,0.5,7.6,1.58,0.21,-25,-333.3
75.599,129.558,46,0.5,6.9,1.07,0.15,-24.3,-284.3
73.305,139.893,8,0.5,7,0.39,0.06,-26.9,-718.6
73.089,140.348,15,0.5,8.2,0.81,0.1,-27,-748.8
72.789,142.67,10,0.5,8.8,0.91,0.1,-27.2,-708.9
73.048,142.667,15,0.5,9.1,0.77,0.08,-27.4,-687
73.143,142.667,10,0.5,8.9,1.02,0.11,-27.3,-748.3
72.2,153.166,18,0.5,7.8,0.63,0.08,-26.6,-675.9
70.567,161.217,9,0.5,6.7,0.42,0.06,-26.4,-584.3
